Data	Energia Esperad kWh		Curva de carga kWh		Diferencia	%
2020-09-04 14:00:00+0200	1565,294727420		1250			0,798571654336506
2020-09-04 15:00:00+0200	1590,778962120		1269			0,7977223927508
2020-09-04 16:00:00+0200	1520,286458170		1216			0,799849260950284
2020-09-04 17:00:00+0200	1342,764803330		1087			0,809523750774734
2020-09-04 18:00:00+0200	1069,103146580		873			0,816572285651461
2020-09-04 19:00:00+0200	711,094011379		576			0,810019478131989
2020-09-04 20:00:00+0200	304,228501196		235			0,772445707999595
2020-09-04 21:00:00+0200	39,368015690		23			0,584230614545358
2020-09-04 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-04 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 09:00:00+0200	57,750550176		38			0,658002389309338
2020-09-05 10:00:00+0200	358,357289233		265			0,739485446402347
2020-09-05 11:00:00+0200	774,747097954		615			0,79380742648037
2020-09-05 12:00:00+0200	1126,126446920		909			0,807191770059349
2020-09-05 13:00:00+0200	1384,739383330		1117			0,806649982983697
2020-09-05 14:00:00+0200	1525,846826290		1221			0,80021138358218
2020-09-05 15:00:00+0200	1558,925878420		1239			0,794778005260744
2020-09-05 16:00:00+0200	1480,240317460		1181			0,79784342182121
2020-09-05 17:00:00+0200	1313,062790710		1055			0,803465003702938
2020-09-05 18:00:00+0200	1039,628280860		844			0,811828627152993
2020-09-05 19:00:00+0200	687,419469792		553			0,804457866413541
2020-09-05 20:00:00+0200	289,372620471		219			0,756809678965282
2020-09-05 21:00:00+0200	37,392192906		20			0,534871010381174
2020-09-05 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-05 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 09:00:00+0200	57,358106446		38			0,66250443668048
2020-09-06 10:00:00+0200	347,645455438		258			0,742135402503521
2020-09-06 11:00:00+0200	763,912531083		604			0,790666438137503
2020-09-06 12:00:00+0200	1112,835880830		900			0,808744591636228
2020-09-06 13:00:00+0200	1371,103843880		1101			0,80300263536885
2020-09-06 14:00:00+0200	1481,672722920		1182			0,797747020455758
2020-09-06 15:00:00+0200	1532,864657620		1210			0,78937171261989
2020-09-06 16:00:00+0200	1465,328784960		1166			0,795725854816828
2020-09-06 17:00:00+0200	1294,561980330		1036			0,800270682857464
2020-09-06 18:00:00+0200	1018,487475120		824			0,80904284061315
2020-09-06 19:00:00+0200	662,429321392		529			0,798575761846385
2020-09-06 20:00:00+0200	278,618815958		209			0,750128806919865
2020-09-06 21:00:00+0200	35,753514629		19			0,531416287239147
2020-09-06 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-06 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 09:00:00+0200	56,238382992		38			0,675695103209861
2020-09-07 10:00:00+0200	345,734055496		256			0,740453524697574
2020-09-07 11:00:00+0200	745,181379867		590			0,791753546103505
2020-09-07 12:00:00+0200	1090,074194910		880			0,80728449871493
2020-09-07 13:00:00+0200	1335,394665130		1078			0,807251989354815
2020-09-07 14:00:00+0200	1479,575864420		1183			0,799553458831083
2020-09-07 15:00:00+0200	1504,595122670		1207			0,802209166980484
2020-09-07 16:00:00+0200	1221,421295790		978			0,800706523925016
2020-09-07 17:00:00+0200	1204,153846340		977			0,811358119205092
2020-09-07 18:00:00+0200	1017,477229030		822			0,807880487687812
2020-09-07 19:00:00+0200	637,353159075		508			0,797046335719537
2020-09-07 20:00:00+0200	244,554784333		178			0,727853272163447
2020-09-07 21:00:00+0200	29,714425892		12			0,403844248701785
2020-09-07 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-07 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 09:00:00+0200	55,119733293		37			0,67126594759667
2020-09-08 10:00:00+0200	342,605209871		251			0,73262166706253
2020-09-08 11:00:00+0200	750,646359254		591			0,787321476636937
2020-09-08 12:00:00+0200	1101,022625530		884			0,802889949309142
2020-09-08 13:00:00+0200	1350,512471290		1087			0,804879646140332
2020-09-08 14:00:00+0200	1508,891200290		1202			0,796611445390485
2020-09-08 15:00:00+0200	1546,298956120		1225			0,792214206154411
2020-09-08 16:00:00+0200	1484,334256540		1179			0,794295486212292
2020-09-08 17:00:00+0200	1316,148043000		1063			0,807659902435459
2020-09-08 18:00:00+0200	1039,748296820		846			0,813658461944524
2020-09-08 19:00:00+0200	659,173455575		532			0,807071333805355
2020-09-08 20:00:00+0200	220,405644148		160			0,725934222866642
2020-09-08 21:00:00+0200	26,887145981		13			0,483502414465628
2020-09-08 22:00:00+0200	0,000000000		0			#DIV/0!
2020-09-08 23:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 00:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 01:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 02:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 03:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 04:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 05:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 06:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 07:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 08:00:00+0200	0,000000000		0			#DIV/0!
2020-09-09 09:00:00+0200	55,309142632		37			0,668967158762769
2020-09-09 10:00:00+0200	347,699337854		257			0,73914434691249
2020-09-09 11:00:00+0200	757,475430917		600			0,792104899394083
2020-09-09 12:00:00+0200	1120,461125450		908			0,810380636486008
2020-09-09 13:00:00+0200	1362,700662000		1092			0,801349871216251
2020-09-09 14:00:00+0200	1503,303041630		1205			0,801568257783503
2020-09-09 15:00:00+0200	1543,059324630		1229			0,796469701704239
