SETEMBRE 2020															
Dia	Hora	Temperatura modul	Irradiación (W/m2)	Isc en el W/m2	Isc temperatura	Voc temp.	Imp temp	Vmp temp	P unitaria temp (W)	Potencia parque calculada con temperatura kW	Potencia parque calculada con temperatura kW con degradación placas	Potencia instantanea inversors kW	Diferencia inversors vs Pcalculada	Potencia instanea a comptador con coefciente entre inversor y contador de la planta	PR  %
1/9/2020	4:50	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	4:55	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:00	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:05	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:10	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:15	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:20	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:25	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:30	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:35	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:40	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:45	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:50	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	5:55	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:00	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:05	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:10	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:15	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:20	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:25	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:30	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:35	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:40	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:45	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:50	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	6:55	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:00	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:05	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:10	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:15	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:20	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:25	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:30	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:35	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:40	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:45	0	0	0	0	0	0	0	0	0	0	0	0,00%	0	0,00%
1/9/2020	7:50	0	0	0	0	0	0	0	0	0	0	1,3329	0,00%	1,28105019	0,00%
1/9/2020	7:55	0	0	0	0	0	0	0	0	0	0	6,1696	0,00%	5,92960256	0,00%
1/9/2020	8:00	0	0	0	0	0	0	0	0	0	0	2,4921	0,00%	2,39515731	0,00%
1/9/2020	8:05	0	0	0	0	0	0	0	0	0	0	2,815	0,00%	2,7054965	0,00%
1/9/2020	8:10	0	0	0	0	0	0	0	0	0	0	5,1662	0,00%	4,96523482	0,00%
1/9/2020	8:15	0	0	0	0	0	0	0	0	0	0	9,9188	0,00%	9,53295868	0,00%
1/9/2020	8:20	0	0	0	0	0	0	0	0	0	0	15,7166	0,00%	15,10522426	0,00%
1/9/2020	8:25	0	0	0	0	0	0	0	0	0	0	23,0916	0,00%	22,19333676	0,00%
1/9/2020	8:30	0	0	0	0	0	0	0	0	0	0	31,2859	0,00%	30,06887849	0,00%
1/9/2020	8:35	0	0	0	0	0	0	0	0	0	0	41,1979	0,00%	39,59530169	0,00%
1/9/2020	8:40	0	0	0	0	0	0	0	0	0	0	51,5358	0,00%	49,53105738	0,00%
1/9/2020	8:45	0	0	0	0	0	0	0	0	0	0	58,6625	0,00%	56,38052875	0,00%
1/9/2020	8:50	0	0	0	0	0	0	0	0	0	0	66,0762	0,00%	63,50583582	0,00%
1/9/2020	8:55	0	0	0	0	0	0	0	0	0	0	69,5725	0,00%	66,86612975	0,00%
1/9/2020	9:00	0	0	0	0	0	0	0	0	0	0	73,9114	0,00%	71,03624654	0,00%
1/9/2020	9:05	0	0	0	0	0	0	0	0	0	0	90,2357	0,00%	86,72553127	0,00%
1/9/2020	9:10	0	0	0	0	0	0	0	0	0	0	125,9764	0,00%	121,075918	0,00%
1/9/2020	9:15	0	0	0	0	0	0	0	0	0	0	164,2567	0,00%	157,8671144	0,00%
1/9/2020	9:20	0	0	0	0	0	0	0	0	0	0	200,0071	0,00%	192,2268238	0,00%
1/9/2020	9:25	0	0	0	0	0	0	0	0	0	0	245,2982	0,00%	235,7561	0,00%
1/9/2020	9:30	0	0	0	0	0	0	0	0	0	0	355,0509	0,00%	341,23942	0,00%
1/9/2020	9:35	0	0	0	0	0	0	0	0	0	0	363,5342	0,00%	349,3927196	0,00%
1/9/2020	9:40	0	0	0	0	0	0	0	0	0	0	196,2417	0,00%	188,6078979	0,00%
1/9/2020	9:45	0	0	0	0	0	0	0	0	0	0	196,943	0,00%	189,2819173	0,00%
1/9/2020	9:50	0	0	0	0	0	0	0	0	0	0	222,3625	0,00%	213,7125988	0,00%
1/9/2020	9:55	0	0	0	0	0	0	0	0	0	0	228,3933	0,00%	219,5088006	0,00%
1/9/2020	10:00	0	0	0	0	0	0	0	0	0	0	278,6746	0,00%	267,8341581	0,00%
1/9/2020	10:05	0	0	0	0	0	0	0	0	0	0	360,5763	0,00%	346,5498819	0,00%
1/9/2020	10:10	0	0	0	0	0	0	0	0	0	0	384,3009	0,00%	369,351595	0,00%
1/9/2020	10:15	0	0	0	0	0	0	0	0	0	0	362,2758	0,00%	348,1832714	0,00%
1/9/2020	10:20	0	0	0	0	0	0	0	0	0	0	285,9325	0,00%	274,8097258	0,00%
1/9/2020	10:25	0	0	0	0	0	0	0	0	0	0	215,2712	0,00%	206,8971503	0,00%
1/9/2020	10:30	0	0	0	0	0	0	0	0	0	0	214,5475	0,00%	206,2016023	0,00%
1/9/2020	10:35	0	0	0	0	0	0	0	0	0	0	218,8663	0,00%	210,3524009	0,00%
1/9/2020	10:40	0	0	0	0	0	0	0	0	0	0	209,6374	0,00%	201,4825051	0,00%
1/9/2020	10:45	0	0	0	0	0	0	0	0	0	0	197,8587	0,00%	190,1619966	0,00%
1/9/2020	10:50	0	0	0	0	0	0	0	0	0	0	192,0546	0,00%	184,5836761	0,00%
1/9/2020	10:55	0	0	0	0	0	0	0	0	0	0	186,1238	0,00%	178,8835842	0,00%
1/9/2020	11:00	0	0	0	0	0	0	0	0	0	0	167,7893	0,00%	161,2622962	0,00%
1/9/2020	11:05	0	0	0	0	0	0	0	0	0	0	150,8775	0,00%	145,0083653	0,00%
