plant,signal_description,device_description,device_uuid,signal_uuid
Tahal,intensitat,string3_inverter124,39169186-1e6f-4ae2-9437-35881eed75d4,6b9af938-11e9-42e9-beb8-0ce374622e00
Tahal,intensitat,string4_inverter124,255b3b0d-2f01-4c4c-9a4c-18c75598bd83,dfa37fe6-d57b-430c-b0b7-e56dc87f88f7
Tahal,intensitat,string5_inverter124,d88eabb0-c843-4cf8-a2d6-c4645cf22192,e53fb1e5-d580-4af5-a3fa-833ea7f82503
Tahal,intensitat,string6_inverter124,3aca2635-bbac-4579-914f-0edeb8474e6b,7171f04c-4f76-4257-8512-a55b66fa65a6
Tahal,intensitat,string7_inverter124,44d93950-5fe3-473f-8801-93d82c2480ce,06411af4-02ab-44ec-9eb3-4c45bfdf5f22
Tahal,intensitat,string8_inverter124,34bdcc5a-bcbf-4be7-afeb-ddccad063a6a,4429b1ff-3a0a-4752-a9d3-0707f0471be5
Tahal,voltatge,string1_inverter124,e874b915-e736-4837-afd5-bb2751454814,3b952429-0e05-41dc-8956-5ad3adb6ff07
Tahal,voltatge,string2_inverter124,968df660-bba4-4755-87a0-55a982869bc4,ce11248f-04f3-42fc-b1a0-04069e7aa615
Tahal,voltatge,string3_inverter124,39169186-1e6f-4ae2-9437-35881eed75d4,27f87811-7f20-41f8-b896-afa632e9d1e0
Tahal,voltatge,string4_inverter124,255b3b0d-2f01-4c4c-9a4c-18c75598bd83,ace312ec-e256-49f8-868a-02ca0a5f6075
Tahal,voltatge,string5_inverter124,d88eabb0-c843-4cf8-a2d6-c4645cf22192,d6886dcb-a7f2-4e4d-9089-be3ddb204c0f
Tahal,voltatge,string6_inverter124,3aca2635-bbac-4579-914f-0edeb8474e6b,1bc96107-bf8f-4011-a124-cc0585bdc432
Tahal,voltatge,string7_inverter124,44d93950-5fe3-473f-8801-93d82c2480ce,15453389-5523-4afc-8da0-573332cbcbd6
Tahal,voltatge,string8_inverter124,34bdcc5a-bcbf-4be7-afeb-ddccad063a6a,cc20534a-e4ca-4b8a-8e84-1de537b634fb
Tahal,potencia_activa,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,f0c86790-5dbd-4081-a75e-67642eb17f96
Tahal,frecuencia,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,d2f6bca0-34b8-4c3e-9442-02514ae1a62c
Tahal,energia,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,ae7c4c9f-c127-44bf-b682-bc860c0a883f
Tahal,energia_total,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,3f56598d-b461-4b1f-ba6d-ef5d8cea7b98
Tahal,temperatura_mitjana,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,642858fe-0c72-42b9-b098-d0fe251c9e21
Tahal,Vr_BT,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,044fe991-55a7-4622-a66d-57b325fba3b3
Tahal,Vs_BT,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,d492bde4-5533-419c-92e4-fbe08f5e25d8
Tahal,Vt_BT,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,06ac2901-3190-432f-8ee7-d34b15f529a8
Tahal,Ir_BT,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,1b7269f0-1d2b-4c5c-8276-c77f028c703d
Tahal,Is_BT,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,de4a0656-79b8-4e8a-8296-81ec5dd9d917
Tahal,It_BT,inverter131,fc1dcbbc-5c7d-4cad-a5b2-aca2a9c620a7,a6f1b7b7-2a61-482e-b85b-54a9310c00d2
Tahal,intensitat,string1_inverter131,770339e1-9003-49e4-a505-eb492ce95fd0,ff9d4a61-59a1-4b7e-8d43-fd8c4dd096bf
Tahal,intensitat,string2_inverter131,c4fc1547-b283-4223-a7da-6b18401fab71,8b2bc988-2bf0-4c5b-a340-8b4620d87014
Tahal,intensitat,string3_inverter131,264157ad-f111-432b-ad0d-ab179d2e36fd,07f9e0c3-671c-43c9-ae39-3010bb386374
Tahal,intensitat,string4_inverter131,22ccc2ac-f5c8-4478-9786-1965f7b00695,e2665358-910b-435b-89d9-465b771db7c4
Tahal,intensitat,string5_inverter131,5b12058b-bf0d-48ba-8822-4ec2ce41986c,be244cd8-ce8e-4d7f-92ab-3ee434d353ec
Tahal,intensitat,string6_inverter131,84fa92b6-eb0d-4a1a-9b35-f0dd4d52d6e1,962eb301-7bdb-4060-a129-2c45cceeadc3
Tahal,intensitat,string7_inverter131,db9ba0b2-d4a2-4750-b092-fb33c8660048,683642bc-85ac-42db-943f-b16eb98fdf17
Tahal,intensitat,string8_inverter131,8940c513-ecda-41e6-994b-4c46fc27d3bc,f2dd2732-604b-4e29-8851-7bbb1ce8b846
Tahal,voltatge,string1_inverter131,770339e1-9003-49e4-a505-eb492ce95fd0,4ace795b-1515-42dc-8184-a7992092c135
Tahal,voltatge,string2_inverter131,c4fc1547-b283-4223-a7da-6b18401fab71,a94d5208-57b0-40bf-a01c-273b8b88ffd9
Tahal,voltatge,string3_inverter131,264157ad-f111-432b-ad0d-ab179d2e36fd,34bb082e-4a5c-444b-bf28-f85f2863f4cd
Tahal,voltatge,string4_inverter131,22ccc2ac-f5c8-4478-9786-1965f7b00695,0077bc95-afd6-42cf-a148-ce729245ae8d
Tahal,voltatge,string5_inverter131,5b12058b-bf0d-48ba-8822-4ec2ce41986c,f840c891-893c-4d40-93e3-5c2c9f8b4ac0
Tahal,voltatge,string6_inverter131,84fa92b6-eb0d-4a1a-9b35-f0dd4d52d6e1,24ee2648-b23e-4314-8290-19978b0e1501
Tahal,voltatge,string7_inverter131,db9ba0b2-d4a2-4750-b092-fb33c8660048,23bc86ca-10aa-4835-81cc-5395abfc0286
Tahal,voltatge,string8_inverter131,8940c513-ecda-41e6-994b-4c46fc27d3bc,796a16b1-d304-4f19-8cd3-7c93135b7e2e
Tahal,potencia_activa,inverter132,09703733-8717-4860-badd-dde60320131c,bba7aad3-f099-4c7b-86f3-a0bb878a0bfa
Tahal,frecuencia,inverter132,09703733-8717-4860-badd-dde60320131c,5ff22cd0-ac64-4a84-bbab-0228d20280c5
Tahal,energia,inverter132,09703733-8717-4860-badd-dde60320131c,7d43f095-2b80-4d2d-b237-3f1824303557
Tahal,energia_total,inverter132,09703733-8717-4860-badd-dde60320131c,c788c302-e477-47e0-8385-cdad2984313f
Tahal,temperatura_mitjana,inverter132,09703733-8717-4860-badd-dde60320131c,d5c6547c-4a0b-4eda-b1cf-ccf44a070fef
Tahal,Vr_BT,inverter132,09703733-8717-4860-badd-dde60320131c,8e07c58e-ce93-4000-b1b1-ade6ee707335
Tahal,Vs_BT,inverter132,09703733-8717-4860-badd-dde60320131c,654ffc68-06f5-4cf4-8bc1-4d2de7f6149f
Tahal,Vt_BT,inverter132,09703733-8717-4860-badd-dde60320131c,9842f219-6829-4932-87a2-ecf3b44c8dee
Tahal,Ir_BT,inverter132,09703733-8717-4860-badd-dde60320131c,152ceca2-3549-49e7-b9a4-d50df57efa91
Tahal,Is_BT,inverter132,09703733-8717-4860-badd-dde60320131c,cbb5db9c-c08b-4253-a75c-e350a779f116
Tahal,It_BT,inverter132,09703733-8717-4860-badd-dde60320131c,261e5b5f-7579-44cb-9a55-e88c31ef5151
Tahal,intensitat,string1_inverter132,4ea6020f-d9ef-41c1-b56d-aa9b73455543,0dc7cb85-3bf7-4d09-9305-970a10a959e6
Tahal,intensitat,string2_inverter132,2e256cb1-c36e-4142-b81b-36765f421156,e240f56f-96f8-4c15-b04b-561dd9c4b0f0
Tahal,intensitat,string3_inverter132,1454f950-1ad9-496e-bb9d-1f1c1a9a7169,6b011115-61a8-4fb6-9ef0-c6246be0249d
Tahal,intensitat,string4_inverter132,7e737f60-1675-4238-92f3-4d01c767c18c,ec141617-34dd-4b33-9ccd-662db5883d02
Tahal,intensitat,string5_inverter132,fb6208d8-e725-42bb-b76c-d6feb0c01672,512d735c-4bf3-4986-8ae9-71d24eed5f53
Tahal,intensitat,string6_inverter132,49d0acb5-9320-4c06-83d5-a997754563c1,1bd2f180-a747-46a8-bfcd-48b35d4fb7bd
Tahal,intensitat,string7_inverter132,213bd4ee-da47-4e8d-8f38-e34c0f826838,ee273fe4-df77-48ed-af8b-98e5164edefb
Tahal,intensitat,string8_inverter132,d3c40259-271f-4c58-8898-5532d1e2c3f0,b3862d46-5f5b-4b05-a1db-cbde6525f66d
Tahal,voltatge,string1_inverter132,4ea6020f-d9ef-41c1-b56d-aa9b73455543,54ac688b-b3dc-48c2-81db-8fc3cee875e7
Tahal,voltatge,string2_inverter132,2e256cb1-c36e-4142-b81b-36765f421156,6a20fd80-fe56-4359-82a9-b00f9f024d43
Tahal,voltatge,string3_inverter132,1454f950-1ad9-496e-bb9d-1f1c1a9a7169,85a29677-662b-4931-bbcd-dc876184fc0c
Tahal,voltatge,string4_inverter132,7e737f60-1675-4238-92f3-4d01c767c18c,136674b3-2f0d-46b0-a4db-947cb66373a1
Tahal,voltatge,string5_inverter132,fb6208d8-e725-42bb-b76c-d6feb0c01672,fb0569eb-9d73-468d-bba8-a184bfedf5db
Tahal,voltatge,string6_inverter132,49d0acb5-9320-4c06-83d5-a997754563c1,f103eac7-4d22-47a0-881b-f3765e453e5c
Tahal,voltatge,string7_inverter132,213bd4ee-da47-4e8d-8f38-e34c0f826838,508c5a9c-d33a-4b59-90ae-6b4fbdc6adeb
Tahal,voltatge,string8_inverter132,d3c40259-271f-4c58-8898-5532d1e2c3f0,82d933b4-9f01-4a1f-a2d0-620e35a17aa5
Tahal,potencia_activa,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,0cff305f-6b75-4add-9f42-44744dc29c09
Tahal,frecuencia,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,05ca6521-c80c-4eaa-b2a9-99fbda5630c3
Tahal,energia,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,d3b1e121-dadd-43b5-ad87-532b3397066f
Tahal,energia_total,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,31162fda-68f1-4169-9bad-b8479c3bb20e
Tahal,temperatura_mitjana,inverter133,7dd09d8c-b6e1-48b2-adb5-6e5f5b36c162,34c81ef0-922e-4661-bf6a-190e3f3d1ecc
